,i,j,k,l,V_ijkl
0,1.0,0.0,0.0,1.0,-67.0
1,0.0,1.0,1.0,0.0,-67.0
2,2.0,3.0,1.0,0.0,-67.0
3,4.0,5.0,1.0,0.0,-67.0
4,1.0,0.0,2.0,3.0,-67.0
5,3.0,2.0,2.0,3.0,-67.0
6,2.0,3.0,3.0,2.0,-67.0
7,4.0,5.0,3.0,2.0,-67.0
8,1.0,0.0,4.0,5.0,-67.0
9,3.0,2.0,4.0,5.0,-67.0
10,5.0,4.0,4.0,5.0,-67.0
11,4.0,5.0,5.0,4.0,-67.0
12,7.0,6.0,6.0,7.0,-77.0
13,6.0,7.0,7.0,6.0,-77.0
14,8.0,9.0,7.0,6.0,-77.0
15,10.0,11.0,7.0,6.0,-77.0
16,7.0,6.0,8.0,9.0,-77.0
17,9.0,8.0,8.0,9.0,-77.0
18,8.0,9.0,9.0,8.0,-77.0
19,10.0,11.0,9.0,8.0,-77.0
20,7.0,6.0,10.0,11.0,-77.0
21,9.0,8.0,10.0,11.0,-77.0
22,11.0,10.0,10.0,11.0,-77.0
23,10.0,11.0,11.0,10.0,-77.0
